experiment_id,timestamp,initial_state,control_sequence,operation_type,entropy,num_states,input_prob,max_prob,top_state,top_prob,state_000,state_001,state_010,state_011,state_100,state_101,state_110,state_111
1,2025-12-03T19:32:57.921918,101,NUL,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
2,2025-12-03T19:33:17.251981,101,ETX,FULL_SUPERPOSITION,2.908,8,0.120,0.200,000,0.200,0.200,0.080,0.140,0.060,0.120,0.120,0.100,0.180
3,2025-12-03T19:33:31.481064,101,BEL,BELL_PAIR,0.990,2,0.000,0.560,100,0.560,0.000,0.000,0.000,0.440,0.560,0.000,0.000,0.000
4,2025-12-03T19:33:41.740815,101,BS,DETERMINISTIC,-0.000,1,0.000,1.000,010,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
5,2025-12-03T19:34:38.574873,101,SYN,DETERMINISTIC,-0.000,1,0.000,1.000,011,1.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000
6,2025-12-03T19:34:51.890780,101,CAN,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
8,2025-12-03T19:35:05.589539,101,SOH,MIXED_STATE,1.990,4,0.000,0.300,110,0.300,0.220,0.000,0.240,0.000,0.240,0.000,0.300,0.000
9,2025-12-03T19:35:23.853706,101,STX,MIXED_STATE,1.952,4,0.000,0.340,110,0.340,0.000,0.000,0.260,0.240,0.000,0.000,0.340,0.160
10,2025-12-03T19:35:51.172227,101,EOT,DETERMINISTIC,-0.000,1,0.000,1.000,001,1.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
11,2025-12-03T19:36:28.796569,101,ENQ,BELL_PAIR,0.999,2,0.000,0.520,111,0.520,0.000,0.000,0.000,0.000,0.480,0.000,0.000,0.520
12,2025-12-03T19:36:39.200925,101,ACK,DETERMINISTIC,-0.000,1,0.000,1.000,111,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
14,2025-12-03T19:36:58.416921,101,LF,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
15,2025-12-03T19:37:09.025323,101,VT,FULL_SUPERPOSITION,2.970,8,0.180,0.180,101,0.180,0.120,0.100,0.120,0.140,0.100,0.180,0.100,0.140
16,2025-12-03T19:37:28.277033,101,FF,FULL_SUPERPOSITION,2.959,8,0.080,0.160,010,0.160,0.160,0.120,0.160,0.100,0.100,0.080,0.120,0.160
18,2025-12-03T19:37:41.752619,101,SO,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
19,2025-12-03T19:37:51.483324,101,SI,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
20,2025-12-03T19:38:01.354739,101,DLE,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
21,2025-12-03T19:38:11.512392,101,DC1,MIXED_STATE,1.981,4,0.000,0.320,011,0.320,0.000,0.220,0.000,0.320,0.240,0.000,0.220,0.000
22,2025-12-03T19:38:21.397978,101,DC2,DETERMINISTIC,-0.000,1,0.000,1.000,111,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
23,2025-12-03T19:38:31.376484,101,DC3,MIXED_STATE,1.966,4,0.280,0.280,010,0.280,0.000,0.000,0.280,0.280,0.160,0.280,0.000,0.000
24,2025-12-03T19:38:41.034285,101,DC4,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
25,2025-12-03T19:38:51.310614,101,NAK,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
26,2025-12-03T19:39:01.250411,101,ETB,BELL_PAIR,0.971,2,0.000,0.600,001,0.600,0.000,0.600,0.000,0.000,0.400,0.000,0.000,0.000
27,2025-12-03T19:39:11.138528,101,EM,BELL_PAIR,0.999,2,0.000,0.520,011,0.520,0.000,0.000,0.000,0.520,0.480,0.000,0.000,0.000
28,2025-12-03T19:39:21.121683,101,ESC,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
30,2025-12-03T19:39:32.029996,101,GS,MIXED_STATE,1.517,4,0.160,0.620,011,0.620,0.000,0.060,0.000,0.620,0.000,0.160,0.000,0.160
32,2025-12-03T19:39:42.861061,101,US,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
33,2025-12-03T19:39:52.320443,101,DEL,FULL_SUPERPOSITION,2.929,8,0.080,0.200,010,0.200,0.080,0.100,0.200,0.140,0.140,0.080,0.160,0.100
34,2025-12-03T19:40:02.152361,101,BS→BS,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
35,2025-12-03T19:40:11.694172,101,BS→ETX,FULL_SUPERPOSITION,2.912,8,0.100,0.220,000,0.220,0.220,0.060,0.140,0.100,0.140,0.100,0.140,0.100
36,2025-12-03T19:40:21.806642,101,ETX→BS,FULL_SUPERPOSITION,2.912,8,0.180,0.180,101,0.180,0.080,0.080,0.160,0.160,0.140,0.180,0.060,0.140
37,2025-12-03T19:40:31.339308,101,BEL→BEL,MIXED_STATE,1.953,4,0.200,0.340,010,0.340,0.000,0.000,0.340,0.280,0.180,0.200,0.000,0.000
38,2025-12-03T19:40:41.415266,101,NUL→NUL,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
39,2025-12-03T19:40:50.981451,000,BS,DETERMINISTIC,-0.000,1,0.000,1.000,111,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
40,2025-12-03T19:41:01.279268,111,BS,DETERMINISTIC,-0.000,1,0.000,1.000,000,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
41,2025-12-03T19:41:11.486698,000,ETX,PARTIAL_SUPERPOSITION,2.884,8,0.160,0.220,111,0.220,0.160,0.140,0.060,0.140,0.120,0.100,0.060,0.220
42,2025-12-03T19:41:21.785348,111,ETX,PARTIAL_SUPERPOSITION,2.857,8,0.080,0.260,101,0.260,0.140,0.060,0.100,0.100,0.160,0.260,0.100,0.080
43,2025-12-03T19:41:32.166374,010,BS,DETERMINISTIC,-0.000,1,0.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
44,2025-12-03T19:41:41.702465,101,CAN→BS,DETERMINISTIC,-0.000,1,0.000,1.000,010,1.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
45,2025-12-03T19:41:51.523945,101,SO→SI,IDENTITY,-0.000,1,1.000,1.000,101,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
47,2025-12-03T19:42:02.310018,101,DC1→DC3,MIXED_STATE,1.971,4,0.000,0.320,011,0.320,0.000,0.260,0.000,0.320,0.240,0.000,0.180,0.000
